source_unit,files_total,files_read,parse_depth,skip_reason
claude:-,2156,2156,full-file rg --json prefilter; matched_lines=2659,
claude:-tmp-gbrain-claude-cli-cwd-3245497,1,1,full-file rg --json prefilter; matched_lines=0,
claude:-tmp-gbrain-claude-cli-cwd-3260694,1,1,full-file rg --json prefilter; matched_lines=0,
claude:-tmp-gbrain-claude-cli-cwd-3265968,4,4,full-file rg --json prefilter; matched_lines=0,
claude:-tmp-gbrain-claude-cli-cwd-3269445,3,3,full-file rg --json prefilter; matched_lines=0,
claude:-tmp-gbrain-claude-cli-cwd-3290610,2,2,full-file rg --json prefilter; matched_lines=0,
claude:-tmp-gbrain-claude-cli-cwd-3302159,2,2,full-file rg --json prefilter; matched_lines=0,
claude:-tmp-gbrain-claude-cli-cwd-3442328,1,1,full-file rg --json prefilter; matched_lines=0,
claude:-tmp-gbrain-claude-cli-cwd-3442754,2,2,full-file rg --json prefilter; matched_lines=0,
claude:-tmp-gbrain-claude-cli-cwd-3446528,1,1,full-file rg --json prefilter; matched_lines=0,
claude:-tmp-gbrain-claude-cli-cwd-3447764,3,3,full-file rg --json prefilter; matched_lines=6,
claude:-tmp-gbrain-claude-cli-cwd-3541722,2,2,full-file rg --json prefilter; matched_lines=0,
claude:-tmp-gbrain-claude-cli-cwd-3686181,10,10,full-file rg --json prefilter; matched_lines=0,
claude:-tmp-gbrain-claude-cli-cwd-3773252,6,6,full-file rg --json prefilter; matched_lines=0,
claude:-tmp-gbrain-claude-cli-cwd-3826201,8,8,full-file rg --json prefilter; matched_lines=0,
claude:-tmp-gbrain-claude-cli-cwd-3847158,8,8,full-file rg --json prefilter; matched_lines=0,
claude:-tmp-gbrain-claude-cli-cwd-3854299,8,8,full-file rg --json prefilter; matched_lines=0,
claude:-tmp-gbrain-claude-cli-cwd-3864725,8,8,full-file rg --json prefilter; matched_lines=0,
claude:-tmp-gbrain-claude-cli-cwd-3879,1,1,full-file rg --json prefilter; matched_lines=0,
claude:-tmp-gbrain-claude-cli-cwd-3917674,8,8,full-file rg --json prefilter; matched_lines=0,
claude:-tmp-gbrain-claude-cli-cwd-3926309,6,6,full-file rg --json prefilter; matched_lines=0,
claude:-tmp-gbrain-claude-cli-cwd-4126147,1,1,full-file rg --json prefilter; matched_lines=0,
claude:-tmp-gbrain-claude-cli-cwd-634297,3,3,full-file rg --json prefilter; matched_lines=2,
claude:-tmp-gbrain-claude-cli-cwd-698483,1,1,full-file rg --json prefilter; matched_lines=0,
claude:-tmp-gbrain-claude-cli-cwd-699056,2,2,full-file rg --json prefilter; matched_lines=0,
claude:-tmp-gbrain-evals-cat15-20260824,0,0,full-file rg --json prefilter; matched_lines=0,STRUCTURAL: missing or empty corpus unit
claude:-tmp-jusan-cron-codex-fallback-xrytrze6-repo,1,1,full-file rg --json prefilter; matched_lines=3,
claude:-tmp-peakminer-final-audit-v3-jo6-pr3n,1,1,full-file rg --json prefilter; matched_lines=3,
claude:-tmp-sdk-bg-exp,3,3,full-file rg --json prefilter; matched_lines=8,
codex:2026-06,53,53,full-file rg --json prefilter; matched_lines=1088,
codex:2026-07,421,421,full-file rg --json prefilter; matched_lines=18747,
codex:2026-08,1794,1794,full-file rg --json prefilter; matched_lines=54880,
gbrain:hermes-export-mirror,10096,10096,full-file rg --json prefilter; matched_lines=6,
gstack:.claude-tg-bridge,3,3,full-file rg --json prefilter; matched_lines=0,
gstack:.mycroft-tg-bridge,0,0,full-file rg --json prefilter; matched_lines=0,STRUCTURAL: missing or empty corpus unit
gstack:NousResearch-hermes-agent,0,0,full-file rg --json prefilter; matched_lines=0,STRUCTURAL: missing or empty corpus unit
gstack:biometal-xpd-viewer,4,4,full-file rg --json prefilter; matched_lines=0,
gstack:biometaldb-3d-reconstruction,2,2,full-file rg --json prefilter; matched_lines=0,
gstack:biometaldb-conformer-audit,1,1,full-file rg --json prefilter; matched_lines=10,
gstack:garrytan-gstack,1,1,full-file rg --json prefilter; matched_lines=0,
gstack:gbrain-graph,0,0,full-file rg --json prefilter; matched_lines=0,STRUCTURAL: missing or empty corpus unit
gstack:girdin-dock,1,1,full-file rg --json prefilter; matched_lines=0,
gstack:gstack,0,0,full-file rg --json prefilter; matched_lines=0,STRUCTURAL: missing or empty corpus unit
gstack:hermes-telegram,1,1,full-file rg --json prefilter; matched_lines=0,
gstack:igmunv-cryptolayer,0,0,full-file rg --json prefilter; matched_lines=0,STRUCTURAL: missing or empty corpus unit
gstack:miroslavb-ai-automation,0,0,full-file rg --json prefilter; matched_lines=0,STRUCTURAL: missing or empty corpus unit
gstack:miroslavb-ajazz-deck,0,0,full-file rg --json prefilter; matched_lines=0,STRUCTURAL: missing or empty corpus unit
gstack:miroslavb-article-archive,1,1,full-file rg --json prefilter; matched_lines=0,
gstack:miroslavb-c6-lcd-zigbee,1,1,full-file rg --json prefilter; matched_lines=0,
gstack:miroslavb-cloudstrix-integra,17,17,full-file rg --json prefilter; matched_lines=4,
gstack:miroslavb-codex-telegram-bridge,0,0,full-file rg --json prefilter; matched_lines=0,STRUCTURAL: missing or empty corpus unit
gstack:miroslavb-crm-parser,0,0,full-file rg --json prefilter; matched_lines=0,STRUCTURAL: missing or empty corpus unit
gstack:miroslavb-crypto-miner-alert,7,7,full-file rg --json prefilter; matched_lines=1,
gstack:miroslavb-gbrain,3,3,full-file rg --json prefilter; matched_lines=0,
gstack:miroslavb-ha-voice-control,0,0,full-file rg --json prefilter; matched_lines=0,STRUCTURAL: missing or empty corpus unit
gstack:miroslavb-hermes-housekeeping,1,1,full-file rg --json prefilter; matched_lines=7,
gstack:miroslavb-luckfox-pico-pi-w,0,0,full-file rg --json prefilter; matched_lines=0,STRUCTURAL: missing or empty corpus unit
gstack:miroslavb-neuro-biometal,0,0,full-file rg --json prefilter; matched_lines=0,STRUCTURAL: missing or empty corpus unit
gstack:miroslavb-onfy-crm,0,0,full-file rg --json prefilter; matched_lines=0,STRUCTURAL: missing or empty corpus unit
gstack:miroslavb-onfy-maestra-agent,26,26,full-file rg --json prefilter; matched_lines=0,
gstack:miroslavb-pearl-hopper,1,1,full-file rg --json prefilter; matched_lines=11,
gstack:miroslavb-telecom-crm-bitrix24,4,4,full-file rg --json prefilter; matched_lines=0,
gstack:miroslavb-timebox-extras,1,1,full-file rg --json prefilter; matched_lines=0,
gstack:miroslavb-ulanzi-inference-monitor,0,0,full-file rg --json prefilter; matched_lines=0,STRUCTURAL: missing or empty corpus unit
gstack:miroslavb-x1-gaming-mode,0,0,full-file rg --json prefilter; matched_lines=0,STRUCTURAL: missing or empty corpus unit
gstack:nas-music-sort,0,0,full-file rg --json prefilter; matched_lines=0,STRUCTURAL: missing or empty corpus unit
gstack:onfy-maestra-agent,1,1,full-file rg --json prefilter; matched_lines=0,
gstack:orta,0,0,full-file rg --json prefilter; matched_lines=0,STRUCTURAL: missing or empty corpus unit
gstack:orta-vps-wipe,3,3,full-file rg --json prefilter; matched_lines=0,
gstack:peakminer-re,0,0,full-file rg --json prefilter; matched_lines=0,STRUCTURAL: missing or empty corpus unit
gstack:pearl-hopper,1,1,full-file rg --json prefilter; matched_lines=5,
gstack:root,5,5,full-file rg --json prefilter; matched_lines=0,
gstack:root-seraph-tanya,0,0,full-file rg --json prefilter; matched_lines=0,STRUCTURAL: missing or empty corpus unit
gstack:vnish-re,0,0,full-file rg --json prefilter; matched_lines=0,STRUCTURAL: missing or empty corpus unit
gstack:wildrig-patch,0,0,full-file rg --json prefilter; matched_lines=0,STRUCTURAL: missing or empty corpus unit
gstack:xpd-oxaliplatin-cofold,3,3,full-file rg --json prefilter; matched_lines=0,
hermes:.hermes,271,271,full-file rg --json prefilter; matched_lines=16,
hermes:.hermes-agent2,59,59,full-file rg --json prefilter; matched_lines=1,
hermes:.hermes-hermes3,117,117,full-file rg --json prefilter; matched_lines=0,
hermes:.hermes-hersets3,0,0,full-file rg --json prefilter; matched_lines=0,STRUCTURAL: missing or empty corpus unit
hermes:.hermes-miner,0,0,full-file rg --json prefilter; matched_lines=0,STRUCTURAL: missing or empty corpus unit
hermes:.hermes-rlm-repl,11,11,full-file rg --json prefilter; matched_lines=0,
openclaw:evidence-only,0,0,full-file rg --json prefilter; matched_lines=0,STRUCTURAL: missing or empty corpus unit
tg-bridge:agent-side,1,1,full-file rg --json prefilter; matched_lines=0,
